n_distributor_id,dist_name,scan_date,time_slot,challan_count,total_line_items,item_value,quantity
36834,AK Pharma - Belgaum,2022-05-10,2022-05-10 21:00:00,2,7,2779.6,22.0
36834,AK Pharma - Belgaum,2022-05-10,2022-05-10 18:00:00,15,60,19624.23,395.0
36834,AK Pharma - Belgaum,2022-05-10,2022-05-10 11:00:00,16,94,23531.36,370.0
36834,AK Pharma - Belgaum,2022-05-10,2022-05-10 23:00:00,1,3,156.21,5.0
36834,AK Pharma - Belgaum,2022-05-10,2022-05-10 09:00:00,1,6,974.52,49.0
36834,AK Pharma - Belgaum,2022-05-11,2022-05-11 14:00:00,26,107,34419.69,408.0
36834,AK Pharma - Belgaum,2022-05-11,2022-05-11 12:00:00,33,192,41884.28,882.0
36834,AK Pharma - Belgaum,2022-05-11,2022-05-11 13:00:00,36,180,68570.99,823.0
36834,AK Pharma - Belgaum,2022-05-11,2022-05-11 20:00:00,8,36,8360.89,138.0
36834,AK Pharma - Belgaum,2022-05-11,2022-05-11 16:00:00,12,52,20352.1,250.0
36834,AK Pharma - Belgaum,2022-05-11,2022-05-11 18:00:00,8,37,8103.36,146.0
36834,AK Pharma - Belgaum,2022-05-11,2022-05-11 17:00:00,8,69,15508.08,233.0
36834,AK Pharma - Belgaum,2022-05-11,2022-05-11 11:00:00,30,184,47702.61,656.0
36834,AK Pharma - Belgaum,2022-05-11,2022-05-11 19:00:00,10,31,11459.12,226.0
36834,AK Pharma - Belgaum,2022-05-11,2022-05-11 10:00:00,1,3,352.12,11.0
36834,AK Pharma - Belgaum,2022-05-11,2022-05-11 22:00:00,1,2,485.31,7.0
36834,AK Pharma - Belgaum,2022-05-11,2022-05-11 15:00:00,5,14,3107.0,59.0
36834,AK Pharma - Belgaum,2022-05-11,2022-05-11 21:00:00,2,2,670.63,13.0
36834,AK Pharma - Belgaum,2022-05-12,2022-05-12 14:00:00,10,75,18400.66,251.0
36834,AK Pharma - Belgaum,2022-05-12,2022-05-12 12:00:00,23,130,28377.62,426.0
36834,AK Pharma - Belgaum,2022-05-12,2022-05-12 15:00:00,21,170,67818.7,740.0
36834,AK Pharma - Belgaum,2022-05-12,2022-05-12 18:00:00,18,135,35264.41,667.0
36834,AK Pharma - Belgaum,2022-05-12,2022-05-12 19:00:00,24,90,25971.34,441.0
36834,AK Pharma - Belgaum,2022-05-12,2022-05-12 20:00:00,3,5,1285.36,17.0
36834,AK Pharma - Belgaum,2022-05-12,2022-05-12 10:00:00,2,11,2018.02,32.0
36834,AK Pharma - Belgaum,2022-05-12,2022-05-12 11:00:00,22,109,23241.74,447.0
36834,AK Pharma - Belgaum,2022-05-12,2022-05-12 13:00:00,30,137,33775.57,507.0
36834,AK Pharma - Belgaum,2022-05-12,2022-05-12 16:00:00,8,36,8459.86,92.0
36834,AK Pharma - Belgaum,2022-05-12,2022-05-12 17:00:00,11,115,35821.36,667.0
36834,AK Pharma - Belgaum,2022-05-13,2022-05-13 17:00:00,21,96,30896.26,397.0
36834,AK Pharma - Belgaum,2022-05-13,2022-05-13 22:00:00,1,5,547.41,17.0
36834,AK Pharma - Belgaum,2022-05-13,2022-05-13 15:00:00,7,43,15505.15,189.0
36834,AK Pharma - Belgaum,2022-05-13,2022-05-13 21:00:00,2,13,3648.6,93.0
36834,AK Pharma - Belgaum,2022-05-13,2022-05-13 20:00:00,4,17,4239.43,71.0
36834,AK Pharma - Belgaum,2022-05-13,2022-05-13 13:00:00,25,145,39909.4,587.0
36834,AK Pharma - Belgaum,2022-05-13,2022-05-13 16:00:00,13,35,15333.05,145.0
36834,AK Pharma - Belgaum,2022-05-13,2022-05-13 12:00:00,42,227,112682.44,1286.0
