unit_name,month,Intercity cost (Actual),Mid mile (Actual)
Ranchi,2022-08-01,0,0.0
Ranchi,2022-09-01,0,26600.0
Ranchi,2022-10-01,0,20600.0
Ranchi,2022-11-01,0,0.0
Sangli,2022-03-01,0,0.0
Sangli,2022-04-01,0,0.0
Sangli,2022-05-01,0,5520.0
Sangli,2022-06-01,0,0.0
Sangli,2022-07-01,0,0.0
Sangli,2022-08-01,0,0.0
Sangli,2022-09-01,0,700.0
Sangli,2022-10-01,0,0.0
Sangli,2022-11-01,0,0.0
Simba,2022-03-01,0,0.0
Simba,2022-04-01,0,0.0
Simba,2022-05-01,0,0.0
Simba,2022-06-01,0,0.0
Simba,2022-07-01,0,0.0
Simba,2022-08-01,0,0.0
Simba,2022-09-01,0,0.0
Simba,2022-10-01,0,0.0
Simba,2022-11-01,0,0.0
Surat,2022-03-01,0,0.0
Surat,2022-04-01,0,0.0
Surat,2022-05-01,0,0.0
Surat,2022-06-01,0,0.0
Surat,2022-07-01,0,0.0
Surat,2022-08-01,0,0.0
Surat,2022-09-01,0,0.0
Surat,2022-10-01,0,0.0
Surat,2022-11-01,0,0.0
VPIM,2022-03-01,0,0.0
VPIM,2022-04-01,0,0.0
VPIM,2022-05-01,0,0.0
VPIM,2022-06-01,0,0.0
VPIM,2022-07-01,0,0.0
VPIM,2022-08-01,0,0.0
VPIM,2022-09-01,0,0.0
VPIM,2022-10-01,0,0.0
VPIM,2022-11-01,0,0.0
Varanasi,2022-03-01,0,0.0
Varanasi,2022-04-01,0,0.0
Varanasi,2022-05-01,0,0.0
Varanasi,2022-06-01,0,0.0
Varanasi,2022-07-01,0,0.0
Varanasi,2022-08-01,0,0.0
Varanasi,2022-09-01,0,0.0
Varanasi,2022-10-01,0,0.0
Varanasi,2022-11-01,0,0.0
Venk,2022-03-01,0,0.0
Venk,2022-04-01,0,0.0
Venk,2022-05-01,0,0.0
Venk,2022-06-01,0,0.0
Venk,2022-07-01,0,0.0
Venk,2022-08-01,0,0.0
Venk,2022-09-01,0,0.0
Venk,2022-10-01,0,0.0
Venk,2022-11-01,0,0.0
Vizag,2022-03-01,0,0.0
Vizag,2022-04-01,0,0.0
Vizag,2022-05-01,0,0.0
Vizag,2022-06-01,0,0.0
Vizag,2022-07-01,0,0.0
Vizag,2022-08-01,0,0.0
Vizag,2022-09-01,0,0.0
Vizag,2022-10-01,0,0.0
Vizag,2022-11-01,0,0.0
