unit_name,month,Present Head Count--Admin,Present Head Count--Audit & Refilling,Present Head Count--CHECKING,Present Head Count--Checking,Present Head Count--Data Analyst,Present Head Count--Data analyst,Present Head Count--Delivery,Present Head Count--Dispatch,Present Head Count--Expiry,Present Head Count--Finance & Accounts,Present Head Count--HR,Present Head Count--IT,Present Head Count--IT ,Present Head Count--Inward,Present Head Count--Overall Non - Ops,Present Head Count--Overall Operation,Present Head Count--PURCHASE,Present Head Count--Purchase,Present Head Count--SALES,Present Head Count--Sales,Present Head Count--Sales Return,Present Head Count--Store,Present Head Count--store
Aurangabad,2022-08-01,1.0,,,2.0,,,,1.0,,,,,,2.6774193548387095,,,,1.0,,14.887096774193548,1.0,4.0,
Aurangabad,2022-09-01,1.0,1.3333333333333333,,1.75,,,,1.0,,,,,,3.8166666666666664,,,,,,12.166666666666666,1.0,3.966666666666667,
Aurangabad,2022-10-01,1.0,1.0,,4.064516129032258,,,,1.032258064516129,,,,,,2.5161290322580645,,,,,,12.225806451612902,1.0,4.709677419354838,
Aurangabad,2022-11-01,0.8333333333333334,0.9666666666666667,,3.833333333333333,,,,1.0,,,,,,2.6333333333333333,,,,,,10.8,0.9666666666666667,4.75,
Aushad,2022-04-01,1.0,,,7.0,,,5.0,5.0,,8.0,,,,3.0,,1.0,,,,26.0,,24.0,
Aushad,2022-05-01,1.0,,,6.0,,,4.0,5.0,,7.0,,,,3.0,,1.0,,,,26.0,,25.0,
Aushad,2022-06-01,0.6666666666666666,,,2.6,,,2.466666666666667,4.766666666666667,,6.166666666666666,,,,1.5666666666666669,,2.466666666666667,,1.6666666666666667,,18.533333333333335,,20.933333333333334,
Aushad,2022-07-01,0.7096774193548387,,,2.4516129032258065,,,4.306451612903226,4.612903225806452,,5.548387096774193,,,,1.5806451612903225,,2.3870967741935485,,1.4516129032258065,,17.693548387096776,,21.70967741935484,
Aushad,2022-08-01,0.7419354838709677,,,1.6774193548387095,,,3.967741935483871,5.048387096774194,,5.790322580645162,,,,1.6451612903225805,,2.5161290322580645,,1.5483870967741935,,18.435483870967744,,24.29032258064516,
Balasore,2022-04-01,1.9,,,,,,,,,2.0,,,,,,,,,,6.733333333333333,,,
Balasore,2022-05-01,2.0,,,,,,,,,2.0,,,,,,,,,,9.741935483870968,,,
Balasore,2022-06-01,2.0,,,,,,,,,2.0,,,,,,,,,,7.866666666666666,,,
Balasore,2022-07-01,2.0,,,,,,,,,2.0,,,,,,,,,,9.0,,,
Balasore,2022-08-01,2.0,,,,,,,,,2.0,,,,,,,,,,10.0,,,
Balasore,2022-09-01,2.7333333333333334,,,,,,,,,2.0,,,,,,,,,,10.0,,,
Balasore,2022-10-01,3.0,,,,,,,,,1.0,,,,,,,,,,10.0,,,
Balasore,2022-11-01,3.0,,,,,,,,,1.0666666666666667,,,,,,,,,,10.0,,,
Belgam,2022-04-01,0.7000599422374802,,,2.1166666666666667,,,6.033333333333333,1.4,,1.8500899133562203,0.9166666666666666,,,1.4666666666666668,,2.0,,,,15.366666666666667,,7.716666666666666,
