unit_name,month,Supervisor,Biker,Van,1.a.i Payment to Outside Agency (Actual),3rd Supervisor Headcount,3rd Biker Headcount,3rd Van Headcount
Gwalior,2022-07-01,0.0,88500.0,0.0,88500.0,0.0,6.103448275862069,0.0
Gwalior,2022-08-01,0.0,75871.0,0.0,75871.0,0.0,5.23248275862069,0.0
Gwalior,2022-09-01,0.0,72871.0,0.0,72871.0,0.0,5.025586206896552,0.0
Gwalior,2022-10-01,8000.0,58000.0,0.0,66000.0,0.0,4.0,0.0
Gwalior,2022-11-01,0.0,74477.424,0.0,74477.424,0.0,5.136374068965517,0.0
Hyd Arush,2022-04-01,0.0,789107.0,0.0,789107.0,0.0,0.0,0.0
Hyd Arush,2022-05-01,22165.0,633496.0,0.0,655661.0,0.0,0.0,0.0
Hyd Arush,2022-06-01,0.0,642222.0,0.0,642222.0,0.0,0.0,0.0
Hyd Arush,2022-07-01,0.0,434124.0,0.0,434124.0,0.0,25.995449101796407,0.0
Hyd Arush,2022-08-01,0.0,622872.0,0.0,622872.0,0.0,34.604,0.0
Hyd Arush,2022-09-01,12500.0,594600.0,60680.0,667780.0,1.0,33.03333333333333,0.0
Hyd Arush,2022-10-01,12500.0,594600.0,60682.0,667782.0,1.0,33.03333333333333,0.0
Hyd Arush,2022-11-01,12580.800000000001,609000.0,66150.0,687730.8,1.006464,0.0,0.0
Indore,2022-04-01,7500.0,168198.0,0.0,175698.0,1.0,9.344333333333333,0.0
Indore,2022-05-01,8000.0,181565.0,0.0,189565.0,1.0666666666666667,10.086944444444445,0.0
Indore,2022-06-01,8000.0,181565.0,0.0,189565.0,1.0666666666666667,10.086944444444445,0.0
Indore,2022-07-01,8000.0,180433.0,0.0,188433.0,1.0,10.024055555555556,0.0
Indore,2022-08-01,5419.0,154984.0,0.0,160403.0,0.7225333333333334,8.610222222222223,0.0
Indore,2022-09-01,8000.0,180113.0,0.0,188113.0,1.0666666666666667,10.006277777777777,0.0
Indore,2022-10-01,8533.0,188316.0,0.0,196849.0,1.1377333333333333,10.462,0.0
Indore,2022-11-01,8206.452000000001,183164.52000000002,0.0,191370.972,1.0941936,0.0,0.0
Jaipur,2022-04-01,0.0,17433.0,67724.0,85157.0,0.0,2.682,0.0
Jaipur,2022-05-01,0.0,17433.0,67724.0,85157.0,0.0,2.682,0.0
Jaipur,2022-06-01,0.0,21073.2,22000.0,43073.2,0.0,3.2420307692307695,0.0
Jaipur,2022-07-01,0.0,27966.0,0.0,27966.0,0.0,4.302461538461539,0.0
Jaipur,2022-08-01,0.0,20431.0,0.0,20431.0,0.0,3.1432307692307693,0.0
Jaipur,2022-09-01,0.0,33340.0,0.0,33340.0,0.0,5.1292307692307695,0.0
Jaipur,2022-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaipur,2022-11-01,0.0,57552.0,0.0,57552.0,0.0,8.854153846153846,0.0
Jalandhar,2022-04-01,0.0,39308.0,0.0,39308.0,0.0,3.509642857142857,0.0
Jalandhar,2022-05-01,0.0,42581.0,0.0,42581.0,0.0,5.322625,0.0
Jalandhar,2022-06-01,0.0,53520.0,0.0,53520.0,0.0,6.69,0.0
Jalandhar,2022-07-01,0.0,46766.0,0.0,46766.0,0.0,5.39586938963886,0.0
Jalandhar,2022-08-01,0.0,24222.0,0.0,24222.0,0.0,3.7264615384615385,0.0
Jalandhar,2022-09-01,0.0,30303.0,0.0,30303.0,0.0,4.662,0.0
Jalandhar,2022-10-01,0.0,36551.0,0.0,36551.0,0.0,5.623230769230769,0.0
Jalandhar,2022-11-01,0.0,36551.0,0.0,36551.0,0.0,5.623230769230769,0.0
Jammu,2022-08-01,0.0,8258.0,0.0,8258.0,0.0,0.516125,0.0
Jammu,2022-09-01,0.0,77935.0,0.0,77935.0,0.0,4.8709375,0.0
Jammu,2022-10-01,0.0,79467.0,0.0,79467.0,0.0,4.9666875,0.0
Jammu,2022-11-01,0.0,78658.068,0.0,78658.068,0.0,4.91612925,0.0
Jamshedpur,2022-04-01,0.0,104667.0,0.0,104667.0,0.0,10.4667,0.0
Jamshedpur,2022-05-01,0.0,101613.0,0.0,101613.0,0.0,10.1613,0.0
Jamshedpur,2022-06-01,0.0,108399.0,0.0,108399.0,0.0,10.8399,0.0
Jamshedpur,2022-07-01,0.0,98667.0,0.0,98667.0,0.0,9.8667,0.0
Jamshedpur,2022-08-01,0.0,121968.0,0.0,121968.0,0.0,12.1968,0.0
Jamshedpur,2022-09-01,9000.0,181520.0,0.0,190520.0,0.0,18.152,0.0
Jamshedpur,2022-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamshedpur,2022-11-01,9057.6,86709.6,0.0,95767.20000000001,0.0,8.670960000000001,0.0
Jhansi,2022-10-01,0.0,71500.0,0.0,71500.0,0.0,4.46875,0.0
Jhansi,2022-11-01,0.0,67935.48,0.0,67935.48,0.0,4.2459675,0.0
Jodhpur,2022-04-01,0.0,131218.0,0.0,131218.0,0.0,10.755573770491804,0.0
Jodhpur,2022-05-01,0.0,141413.0,0.0,141413.0,0.0,11.59122950819672,0.0
Jodhpur,2022-06-01,0.0,127377.6,0.0,127377.6,0.0,10.440786885245902,0.0
Jodhpur,2022-07-01,0.0,136171.0,0.0,136171.0,0.0,11.16155737704918,0.0
Jodhpur,2022-08-01,0.0,124911.0,0.0,124911.0,0.0,10.238606557377048,0.0
Jodhpur,2022-09-01,0.0,153118.0,0.0,153118.0,0.0,12.550655737704918,0.0
Jodhpur,2022-10-01,0.0,163789.0,0.0,163789.0,0.0,13.42532786885246,0.0
Jodhpur,2022-11-01,0.0,151739.0,0.0,151739.0,0.0,12.437622950819673,0.0
Kanpur,2022-04-01,0.0,73639.0,0.0,73639.0,0.0,6.035983606557377,0.0
Kanpur,2022-05-01,7000.0,112323.0,0.0,119323.0,1.0,7.246645161290322,0.0
Kanpur,2022-06-01,7000.0,115560.0,0.0,122560.0,1.0,7.455483870967742,0.0
Kanpur,2022-07-01,7000.0,96300.0,0.0,103300.0,1.0,6.01875,0.0
Kanpur,2022-08-01,7000.0,122500.0,0.0,129500.0,1.0,7.903225806451613,0.0
Kanpur,2022-09-01,7000.0,106484.0,0.0,113484.0,1.0,6.869935483870968,0.0
Kanpur,2022-10-01,7000.0,108733.0,0.0,115733.0,1.0,7.015032258064516,0.0
Kanpur,2022-11-01,7587.096,117832.26000000001,0.0,125419.35600000001,1.083870857142857,7.602081290322581,0.0
Kharagpur,2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kolkata,2022-04-01,0.0,1505751.0,0.0,1505751.0,0.0,0.0,0.0
Kolkata,2022-05-01,0.0,1171206.0,0.0,1171206.0,0.0,0.0,0.0
Kolkata,2022-06-01,28839.0,921830.0,121891.0,1072560.0,2.8839,46.0915,3.047275
Kolkata,2022-07-01,30202.0,937467.0,103815.0,1071484.0,3.0202,49.34036842105263,2.595375
Kolkata,2022-08-01,30202.0,937467.0,103815.0,1071484.0,3.0202,46.87335,2.595375
Kolkata,2022-09-01,30202.0,970161.0,132991.0,1133354.0,3.0202,48.50805,3.324775
Kolkata,2022-10-01,30202.0,959500.0,210986.0,1200688.0,3.0202,47.975,5.27465
Kolkata,2022-11-01,30396.0,924309.6,113052.0,1067757.6,3.0396,46.21548,2.8263
Kota,2022-04-01,0.0,120279.0,0.0,120279.0,0.0,12.0279,0.0
Kota,2022-05-01,0.0,116430.0,0.0,116430.0,0.0,11.643,0.0
Kota,2022-06-01,0.0,101808.0,0.0,101808.0,0.0,10.1808,0.0
Kota,2022-07-01,0.0,113689.0,0.0,113689.0,0.0,11.3689,0.0
Kota,2022-08-01,0.0,75099.0,0.0,75099.0,0.0,7.5099,0.0
